,Date,Lockdown_index
182,2020-07-23,0.038687196110210695
183,2020-07-24,0.038687196110210695
184,2020-07-25,0.038687196110210695
185,2020-07-26,0.038687196110210695
186,2020-07-27,0.038687196110210695
187,2020-07-28,0.038687196110210695
188,2020-07-29,0.038687196110210695
189,2020-07-30,0.038687196110210695
190,2020-07-31,0.038687196110210695
191,2020-08-01,0.038687196110210695
192,2020-08-02,0.038687196110210695
193,2020-08-03,0.038687196110210695
194,2020-08-04,0.038687196110210695
195,2020-08-05,0.038687196110210695
196,2020-08-06,0.038687196110210695
197,2020-08-07,0.038687196110210695
198,2020-08-08,0.038687196110210695
199,2020-08-09,0.038687196110210695
200,2020-08-10,0.038687196110210695
201,2020-08-11,0.038687196110210695
202,2020-08-12,0.038687196110210695
203,2020-08-13,0.038687196110210695
204,2020-08-14,0.038687196110210695
205,2020-08-15,0.038687196110210695
206,2020-08-16,0.038687196110210695
207,2020-08-17,0.038687196110210695
208,2020-08-18,0.038687196110210695
209,2020-08-19,0.038687196110210695
210,2020-08-20,0.038687196110210695
211,2020-08-21,0.038687196110210695
212,2020-08-22,0.038687196110210695
213,2020-08-23,0.038687196110210695
214,2020-08-24,0.038687196110210695
215,2020-08-25,0.038687196110210695
216,2020-08-26,0.038687196110210695
217,2020-08-27,0.038687196110210695
218,2020-08-28,0.038687196110210695
219,2020-08-29,0.038687196110210695
220,2020-08-30,0.038687196110210695
221,2020-08-31,0.038687196110210695
222,2020-09-01,0.038687196110210695
223,2020-09-02,0.038687196110210695
224,2020-09-03,0.038687196110210695
225,2020-09-04,0.038687196110210695
226,2020-09-05,0.038687196110210695
227,2020-09-06,0.038687196110210695
228,2020-09-07,0.038687196110210695
229,2020-09-08,0.038687196110210695
230,2020-09-09,0.038687196110210695
231,2020-09-10,0.038687196110210695
232,2020-09-11,0.038687196110210695
233,2020-09-12,0.038687196110210695
234,2020-09-13,0.038687196110210695
235,2020-09-14,0.038687196110210695
236,2020-09-15,0.038687196110210695
237,2020-09-16,0.038687196110210695
238,2020-09-17,0.038687196110210695
239,2020-09-18,0.038687196110210695
240,2020-09-19,0.038687196110210695
241,2020-09-20,0.038687196110210695
242,2020-09-21,0.038687196110210695
243,2020-09-22,0.038687196110210695
244,2020-09-23,0.038687196110210695
245,2020-09-24,0.038687196110210695
246,2020-09-25,0.038687196110210695
247,2020-09-26,0.038687196110210695
248,2020-09-27,0.038687196110210695
249,2020-09-28,0.038687196110210695
250,2020-09-29,0.038687196110210695
251,2020-09-30,0.038687196110210695
252,2020-10-01,0.038687196110210695
253,2020-10-02,0.038687196110210695
254,2020-10-03,0.038687196110210695
255,2020-10-04,0.038687196110210695
256,2020-10-05,0.038687196110210695
257,2020-10-06,0.038687196110210695
258,2020-10-07,0.038687196110210695
259,2020-10-08,0.038687196110210695
260,2020-10-09,0.038687196110210695
261,2020-10-10,0.038687196110210695
262,2020-10-11,0.038687196110210695
263,2020-10-12,0.038687196110210695
264,2020-10-13,0.038687196110210695
265,2020-10-14,0.038687196110210695
266,2020-10-15,0.038687196110210695
267,2020-10-16,0.038687196110210695
268,2020-10-17,0.038687196110210695
269,2020-10-18,0.038687196110210695
270,2020-10-19,0.038687196110210695
271,2020-10-20,0.038687196110210695
272,2020-10-21,0.038687196110210695
273,2020-10-22,0.038687196110210695
274,2020-10-23,0.038687196110210695
275,2020-10-24,0.038687196110210695
276,2020-10-25,0.038687196110210695
277,2020-10-26,0.038687196110210695
