date,Effective Vax t
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,1.7314844795147932e-06
2021-01-28,6.177097844508675e-07
2021-01-29,6.177101660164811e-07
2021-01-30,6.177105475825659e-07
2021-01-31,6.177109291491222e-07
2021-02-01,6.1771131071615e-07
2021-02-02,0.00020670772001083027
2021-02-03,7.41461768174743e-05
2021-02-04,7.41516748806713e-05
2021-02-05,7.351830797045037e-05
2021-02-06,7.352371330944858e-05
2021-02-07,7.352911944334643e-05
2021-02-08,7.353452637231927e-05
2021-02-09,7.353993409654251e-05
2021-02-10,7.354534261619162e-05
2021-02-11,-2.501996975836255e-06
2021-02-12,-2.50199071586305e-06
2021-02-13,-2.5019844559211703e-06
2021-02-14,-2.5019781960106146e-06
2021-02-15,-2.501971936131384e-06
2021-02-16,-2.5019656762834765e-06
2021-02-17,-2.5019594164668927e-06
2021-02-18,0.0036148221173229306
2021-02-19,0.0012896384485311999
2021-02-20,0.0012913037635133597
2021-02-21,0.0012929733849114187
2021-02-22,0.0012946473294512457
2021-02-23,0.0012963256139454393
2021-02-24,0.0012980082552938896
2021-02-25,0.0012996952704843446
2021-02-26,0.001301386676592984
2021-02-27,-4.651217705003959e-05
2021-02-28,-4.6510013768044613e-05
2021-03-01,0.003384962183906196
2021-03-02,0.0011789593189784188
2021-03-03,0.0011803509046771526
2021-03-04,0.0014537547824407045
2021-03-05,0.0012806297953001818
2021-03-06,0.0012822719109149758
2021-03-07,0.0013550761348713935
2021-03-08,0.0013714343155651137
2021-03-09,0.0013344402153556152
2021-03-10,5.564655037792903e-05
2021-03-11,5.564964708881927e-05
2021-03-12,5.5652744144390444e-05
2021-03-13,-4.522148805421962e-05
2021-03-14,-4.521944316371077e-05
2021-03-15,0.0008275645027639742
2021-03-16,0.00023987792679697794
2021-03-17,0.00021764136218339083
2021-03-18,0.00021768874025735247
2021-03-19,0.00021773613896315183
2021-03-20,0.00021778355831426885
2021-03-21,0.00021783099832419503
2021-03-22,0.0022741965983431047
2021-03-23,0.0012894571403782443
2021-03-24,0.0007501266680450072
2021-03-25,0.0007506897804687655
2021-03-26,0.0007512537389731517
2021-03-27,0.0007518185454664626
2021-03-28,0.0007523842018627391
2021-03-29,0.0031219998800418925
2021-03-30,0.001601820442990172
2021-03-31,0.0008369125602192655
2021-04-01,0.0007121746782195015
2021-04-02,0.0007126822324590757
2021-04-03,0.0040760751964567885
2021-04-04,0.0019415308399382961
2021-04-05,0.0019453077148598665
2021-04-06,0.004442836115116444
2021-04-07,0.0019643944370631946
2021-04-08,0.001968260877782199
2021-04-09,0.0019721425688458668
2021-04-10,0.001976039600660054
2021-04-11,0.0019799520643466115
2021-04-12,0.0007014457316517424
2021-04-13,0.0007019381031380723
2021-04-14,0.0007024311663385572
2021-04-15,-0.00023074802508024183
2021-04-16,-0.00023069479271242712
2021-04-17,-0.00023064158489980775
2021-04-18,0.011543659721411324
2021-04-19,0.004011012607495404
2021-04-20,0.004027165619567963
2021-04-21,0.004043449259409926
2021-04-22,0.004059865118014667
2021-04-23,0.004076414812317753
2021-04-24,0.004093099985727873
2021-04-25,0.004109922308670836
2021-04-26,0.004126883479147068
2021-04-27,-0.0003793436105179166
2021-04-28,-0.0003791997635105189
2021-04-29,-0.00037905602555527107
2021-04-30,-0.0003789123965282095
2021-05-01,-0.00037876887630555837
2021-05-02,-0.000378625464763729
2021-05-03,-0.00037848216177932054
2021-05-04,-0.0003783389672291183
2021-05-05,-0.00037819588099009425
2021-05-06,-0.0003780529029394062
2021-05-07,-0.0003779100329543978
2021-05-08,-0.00037776727091259817
2021-05-09,-0.0003776246166917212
2021-05-10,0.016667551089063842
2021-05-11,0.005792607915847317
2021-05-12,0.005826357721706634
2021-05-13,0.006477076841183073
2021-05-14,0.006121477786836201
2021-05-15,0.006159181076984061
2021-05-16,0.00619735168822962
2021-05-17,0.012056264301426098
2021-05-18,0.00841962393814198
2021-05-19,0.001721115717291907
2021-05-20,0.0017240830637508453
2021-05-21,0.00172706065978445
2021-05-22,0.0014919793946629079
2021-05-23,0.0014942087232893812
2021-05-24,0.008932245566771647
2021-05-25,0.004176595229464076
2021-05-26,0.0019731690400318987
2021-05-27,0.0019770701336095085
2021-05-28,0.001980986683215973
2021-05-29,0.001984918780888178
2021-05-30,0.001988866519395205
2021-05-31,0.008485646461848061
2021-06-01,0.0044001280884961615
2021-06-02,0.001587747371128428
2021-06-03,0.0015902723218267868
2021-06-04,0.0015928053160349357
2021-06-05,0.0015953463922494277
2021-06-06,0.0015978955892128697
2021-06-07,0.006968483759938705
2021-06-08,0.0035748208115959873
2021-06-09,0.0010846693842137616
2021-06-10,0.0010858471693943389
2021-06-11,0.0010870275151447127
2021-06-12,0.0010882104298241988
2021-06-13,0.0010893959218285405
2021-06-14,0.0010905839995901056
2021-06-15,0.0056886777038446254
2021-06-16,0.0007611578895562875
2021-06-17,0.0007617376922104857
2021-06-18,0.0007623183788531232
2021-06-19,0.0007628999515073832
2021-06-20,0.0007634824122026292
2021-06-21,0.0007640657629744264
2021-06-22,0.003765346613067133
2021-06-23,0.0018912639283263216
2021-06-24,0.00013470468996720756
2021-06-25,0.0001347228377653001
2021-06-26,0.00013474099045389747
2021-06-27,0.00013475914803497634
