date,Partially Vaccinated with Pfizer,Fully Vaccinated with Pfizer,Partially Vaccinated with Moderna,Fully Vaccinated with Moderna
30/6/2021,117742,1675354,1059675,418839
1/7/2021,130132,1678865,1171191,446280
2/7/2021,134749,1691911,1212738,449748
3/7/2021,139343,1703833,1254087,452918
4/7/2021,143667,1715892,1293006,456123
5/7/2021,148315,1728290,1334838,459419
6/7/2021,152664,1740585,1373971,462687
7/7/2021,152664,1740585,1373971,462687
8/7/2021,160245,1770175,1442206,470553
9/7/2021,162717,1791700,1464457,476275
10/7/2021,162717,1791700,1464457,476275
11/7/2021,162717,1791700,1464457,476275
12/7/2021,165539,1822916,1489846,544508
13/7/2021,163161,1864034,1468449,556790
14/7/2021,163161,1864034,1468449,556790
15/7/2021,155087,1909379,1395780,636459
16/7/2021,150897,1930932,1358070,678435
17/7/2021,146038,1980367,1314342,695804
18/7/2021,140565,2033142,1265089,714347
19/7/2021,137249,2066398,1235243,726032
20/7/2021,137236,2066574,1235121,726093
21/7/2021,137236,2066574,1235121,726093
22/7/2021,130363,2144135,1173267,753345
23/7/2021,125435,2192824,1128917,770451
24/7/2021,120961,2235367,1088652,785399
25/7/2021,117241,2271868,1055172,798224
26/7/2021,113261,2310413,1019348,811767
27/7/2021,110884,2337465,997956,821272
28/7/2021,110884,2337465,997956,821272
29/7/2021,102868,2413586,925807,848017
30/7/2021,97240,2462181,875155,865091
31/7/2021,91580,2509931,824223,881868
1/8/2021,86499,2551663,778490,896530
2/8/2021,81525,2594422,733723,911553
3/8/2021,76850,2635474,691654,925978
4/8/2021,71891,2677681,647018,940807
5/8/2021,71891,2677681,647018,940807
6/8/2021,60674,2771153,546065,973649
7/8/2021,55184,2817662,496659,989990
8/8/2021,55184,2817662,496659,989990
9/8/2021,47590,2884261,428310,1013389
10/8/2021,47590,2884261,428310,1013389
11/8/2021,47311,2954769,425795,1038162
12/8/2021,41358,3013264,372223,1058714
13/8/2021,41358,3013264,372223,1058714
14/8/2021,33882,3085082,304936,1083948
15/8/2021,33882,3085082,304936,1083948
16/8/2021,40570,3085653,229896,1084149
17/8/2021,41502,3086224,235175,1084349
18/8/2021,41502,3086224,235175,1084349
19/8/2021,38875,3108024,220293,1092008
20/8/2021,37325,3121840,211505,1096863
21/8/2021,36362,3132274,206049,1100529
22/8/2021,35880,3136685,203321,1102079
23/8/2021,34609,3146151,196118,1105404
24/8/2021,33785,3153241,191445,1107896
25/8/2021,33785,3153241,191445,1107896
26/8/2021,32372,3166363,183440,1112506
27/8/2021,31316,3175828,177455,1115831
28/8/2021,30311,3184217,171765,1118779
29/8/2021,29656,3189383,168052,1120594
30/8/2021,28907,3196083,163809,1122948
31/8/2021,28000,3203315,158665,1125489
1/9/2021,28000,3203315,158665,1125489
2/9/2021,26658,3215159,151062,1129651
3/9/2021,25481,3224526,144390,1132941
4/9/2021,24115,3234181,136651,1136334
5/9/2021,23206,3240289,131500,1138480
6/9/2021,22737,3245200,128844,1140205
7/9/2021,22368,3249564,126751,1141739
8/9/2021,22137,3253468,125440,1143110
9/9/2021,22032,3256755,124851,1144265
10/9/2021,21046,3264547,119258,1147003
11/9/2021,20216,3270761,114555,1149186
12/9/2021,19701,3274525,111642,1150509
13/9/2021,19531,3277207,110674,1151451
14/9/2021,19374,3279984,109789,1152427
15/9/2021,19374,3279984,109789,1152427
16/9/2021,19439,3284498,110151,1154013
17/9/2021,19112,3288949,108302,1155576
18/9/2021,18763,3292583,106322,1156854
19/9/2021,18597,3294389,105382,1157488
20/9/2021,18475,3297097,104693,1158439
21/9/2021,18386,3299989,104189,1159456
22/9/2021,18386,3299989,104189,1159456
23/9/2021,18354,3303754,104003,1160778
24/9/2021,18059,3307511,102333,1162099
25/9/2021,17715,3310572,100386,1163174
26/9/2021,17625,3311863,99877,1163628
27/9/2021,16945,3315551,96020,1164923
28/9/2021,16733,3316804,94817,1165363
29/9/2021,16733,3316804,94817,1165363
30/9/2021,13065,3320472,94302,1166652
