Date,Partially Vaccinated,Full Vaccinated,Booster,SUM,4860000,Rate,dRate,Pre-existing immunity
15/12/2020,0.56,0,0,0.56,4859999.44,1.15226E-07,0,540000
16/12/2020,0.84,0,0,0.84,4859999.16,1.7284E-07,5.76132E-08,540000
17/12/2020,1.12,0,0,1.12,4859998.88,2.30453E-07,5.76132E-08,540000
18/12/2020,1.96,0,0,1.96,4859998.04,4.03292E-07,1.7284E-07,540000
19/12/2020,2.52,0,0,2.52,4859997.48,5.18519E-07,1.15226E-07,540000
20/12/2020,2.52,0,0,2.52,4859997.48,5.18519E-07,0,540000
21/12/2020,3.08,0,0,3.08,4859996.92,6.33745E-07,1.15226E-07,540000
22/12/2020,3.64,0,0,3.64,4859996.36,7.48971E-07,1.15226E-07,540000
23/12/2020,3.92,0,0,3.92,4859996.08,8.06584E-07,5.76132E-08,540000
24/12/2020,4.2,0,0,4.2,4859995.8,8.64198E-07,5.76132E-08,540000
25/12/2020,5.04,0,0,5.04,4859994.96,1.03704E-06,1.7284E-07,540000
26/12/2020,5.6,0,0,5.6,4859994.4,1.15226E-06,1.15226E-07,540000
27/12/2020,6.44,0,0,6.44,4859993.56,1.3251E-06,1.7284E-07,540000
28/12/2020,6.44,0,0,6.44,4859993.56,1.3251E-06,0,540000
29/12/2020,8.96,0,0,8.96,4859991.04,1.84362E-06,5.18519E-07,540000
30/12/2020,33.32,0,0,33.32,4859966.68,6.85597E-06,5.01235E-06,540000
31/12/2020,34.72,0,0,34.72,4859965.28,7.14403E-06,2.88066E-07,540000
1/1/2021,36.4,0,0,36.4,4859963.6,7.48971E-06,3.45679E-07,540000
2/1/2021,37.52,0,0,37.52,4859962.48,7.72016E-06,2.30453E-07,540000
3/1/2021,39.76,0,0,39.76,4859960.24,8.18107E-06,4.60905E-07,540000
4/1/2021,45.92,0,0,45.92,4859954.08,9.44856E-06,1.26749E-06,540000
5/1/2021,48.44,0.56,0,49,4859951,1.00823E-05,6.33745E-07,540000
6/1/2021,51.52,0.84,0,52.36,4859947.64,1.07737E-05,6.91358E-07,540000
7/1/2021,54.88,1.12,0,56,4859944,1.15226E-05,7.48971E-07,540000
8/1/2021,257.32,1.96,0,259.28,4859740.72,5.33498E-05,4.18272E-05,540000
9/1/2021,368.76,2.558342857,0,371.3183429,4859628.682,7.6403E-05,2.30532E-05,540000
10/1/2021,399.56,2.622142857,0,402.1821429,4859597.818,8.27535E-05,6.35058E-06,540000
11/1/2021,983.36,3.268257143,0,986.6282571,4859013.372,0.00020301,0.000120256,540000
12/1/2021,1770.16,3.975028571,0,1774.135029,4858225.865,0.000365048,0.000162038,540000
13/1/2021,2916.76,4.449571429,0,2921.209571,4857078.79,0.000601072,0.000236024,540000
14/1/2021,4260.48,4.9304,0,4265.4104,4855734.59,0.000877656,0.000276585,540000
15/1/2021,5764.64,6.009571429,0,5770.649571,4854229.35,0.001187376,0.00030972,540000
16/1/2021,6251.56,6.853371429,0,6258.413371,4853741.587,0.001287739,0.000100363,540000
17/1/2021,6430.48,8.002628571,0,6438.482629,4853561.517,0.001324791,3.70513E-05,540000
18/1/2021,8540.84,8.3342,0,8549.1742,4851450.826,0.001759089,0.000434299,540000
19/1/2021,10847.48,11.1928,0,10858.6728,4849141.327,0.002234295,0.000475205,540000
20/1/2021,13413.96,22.75235714,0,13436.71236,4846563.288,0.002764756,0.000530461,540000
21/1/2021,15510.6,23.9889,0,15534.5889,4844465.411,0.003196417,0.000431662,540000
22/1/2021,17691.24,24.87442857,0,17716.11443,4842283.886,0.003645291,0.000448874,540000
23/1/2021,19029.64,26.15887143,0,19055.79887,4840944.201,0.003920946,0.000275655,540000
24/1/2021,20289.92,27.67845714,0,20317.59846,4839682.402,0.004180576,0.00025963,540000
25/1/2021,23661.4,33.52764286,0,23694.92764,4836305.072,0.0048755,0.000694924,540000
26/1/2021,27200.32,37.41097143,0,27237.73097,4832762.269,0.005604471,0.000728972,540000
27/1/2021,31093.72,40.77128571,0,31134.49129,4828865.509,0.006406274,0.000801803,540000
28/1/2021,35164.64,47.21338571,0,35211.85339,4824788.147,0.007245237,0.000838963,540000
29/1/2021,38893.68,252.6849286,0,39146.36493,4820853.635,0.008054808,0.00080957,540000
30/1/2021,40806.64,346.6056714,0,41153.24567,4818846.754,0.008467746,0.000412938,540000
31/1/2021,42349.44,384.3284571,0,42733.76846,4817266.232,0.008792956,0.00032521,540000
1/2/2021,44294.32,978.2183286,0,45272.53833,4814727.462,0.009315337,0.000522381,540000
2/2/2021,46287.92,1700.400243,0,47988.32024,4812011.68,0.00987414,0.000558803,540000
3/2/2021,48457.36,2770.024986,0,51227.38499,4808772.615,0.010540614,0.000666474,540000
4/2/2021,49661.36,4037.657229,0,53699.01723,4806300.983,0.01104918,0.000508566,540000
5/2/2021,50825.88,5582.467357,0,56408.34736,4803591.653,0.011606656,0.000557475,540000
6/2/2021,51570.12,6175.308243,0,57745.42824,4802254.572,0.011881775,0.00027512,540000
7/2/2021,52015.6,6567.673057,0,58583.27306,4801416.727,0.012054171,0.000172396,540000
8/2/2021,50998.36,8994.459157,0,59992.81916,4800007.181,0.012344201,0.00029003,540000
9/2/2021,49665.28,11743.81921,0,61409.09921,4798590.901,0.012635617,0.000291416,540000
10/2/2021,47928.16,14776.11897,0,62704.27897,4797295.721,0.012902115,0.000266498,540000
11/2/2021,47467.28,16094.15033,0,63561.43033,4796438.57,0.013078484,0.000176369,540000
12/2/2021,47470.08,16703.87691,0,64173.95691,4795826.043,0.013204518,0.000126034,540000
13/2/2021,47471.2,17488.61769,0,64959.81769,4795040.182,0.013366218,0.0001617,540000
14/2/2021,46499.6,19585.7008,0,66085.3008,4793914.699,0.013597799,0.000231581,540000
15/2/2021,43728.72,23681.61601,0,67410.33601,4792589.664,0.01387044,0.000272641,540000
16/2/2021,40399.8,28607.31034,0,69007.11034,4790992.89,0.014198994,0.000328554,540000
17/2/2021,36944.32,33850.72039,0,70795.04039,4789204.96,0.014566881,0.000367887,540000
18/2/2021,34068.72,38720.45499,0,72789.17499,4787210.825,0.014977196,0.000410316,540000
19/2/2021,31626.56,43669.37469,0,75295.93469,4784704.065,0.015492991,0.000515794,540000
20/2/2021,30543.24,46977.27997,0,77520.51997,4782479.48,0.015950724,0.000457734,540000
21/2/2021,29429.68,50139.7949,0,79569.4749,4780430.525,0.01637232,0.000421596,540000
22/2/2021,27857.48,55060.60033,0,82918.08033,4777081.92,0.017061333,0.000689013,540000
23/2/2021,26771.92,60132.75117,0,86904.67117,4773095.329,0.01788162,0.000820286,540000
24/2/2021,25572.96,65118.65944,0,90691.61944,4769308.381,0.018660827,0.000779207,540000
25/2/2021,25170.04,69657.0204,0,94827.0604,4765172.94,0.019511741,0.000850914,540000
26/2/2021,24939.88,74670.9951,0,99610.8751,4760389.125,0.020496065,0.000984324,540000
27/2/2021,25736.2,78453.7614,0,104189.9614,4755810.039,0.021438264,0.000942199,540000
28/2/2021,26730.48,81571.23809,0,108301.7181,4751698.282,0.022284304,0.00084604,540000
1/3/2021,28493.64,84845.02831,0,113338.6683,4746661.332,0.023320714,0.00103641,540000
2/3/2021,30306.36,87992.1183,0,118298.4783,4741701.522,0.024341251,0.001020537,540000
3/3/2021,32596.76,90684.57676,0,123281.3368,4736718.663,0.02536653,0.00102528,540000
4/3/2021,35523.32,92750.92141,0,128274.2414,4731725.759,0.026393877,0.001027347,540000
5/3/2021,39041.8,94280.4586,0,133322.2586,4726677.741,0.027432563,0.001038687,540000
6/3/2021,41307,95599.85067,0,136906.8507,4723093.149,0.028170134,0.00073757,540000
7/3/2021,42530.04,96760.39344,0,139290.4334,4720709.567,0.028660583,0.000490449,540000
8/3/2021,45917.2,97941.05501,0,143858.255,4716141.745,0.029600464,0.000939881,540000
9/3/2021,50072.4,98954.73359,0,149027.1336,4710972.866,0.030664019,0.001063555,540000
10/3/2021,54589.92,99903.23641,0,154493.1564,4705506.844,0.031788715,0.001124696,540000
11/3/2021,59863.44,100763.4897,0,160626.9297,4699373.07,0.033050809,0.001262093,540000
12/3/2021,65449.16,101788.3651,0,167237.5251,4692762.475,0.034411013,0.001360205,540000
13/3/2021,71184.96,102290.6599,0,173475.6199,4686524.38,0.035694572,0.001283559,540000
14/3/2021,76370,102320.1097,0,178690.1097,4681309.89,0.036767512,0.00107294,540000
15/3/2021,82453.84,103513.6608,0,185967.5008,4674032.499,0.038264918,0.001497406,540000
16/3/2021,88585,105060.4737,0,193645.4737,4666354.526,0.039844748,0.00157983,540000
17/3/2021,95812.08,106720.1589,0,202532.2389,4657467.761,0.0416733,0.001828553,540000
