,Date,Compulsory_Mask,Eat_In_Ban,Entry_Recording,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation_0.0,Recreation_0.25,Recreation_0.5,Recreation_0.65,Recreation_1.0,Workplace_Closure_0.0,Workplace_Closure_0.33,Workplace_Closure_0.5,Workplace_Closure_0.75,Workplace_Closure_1.0,Worship_0.0,Worship_0.25,Worship_0.5,Worship_0.65,Worship_1.0
45,2020-03-08,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
46,2020-03-09,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
47,2020-03-10,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
48,2020-03-11,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
49,2020-03-12,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
50,2020-03-13,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
51,2020-03-14,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
52,2020-03-15,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
53,2020-03-16,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
54,2020-03-17,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
55,2020-03-18,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
56,2020-03-19,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
57,2020-03-20,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
58,2020-03-21,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
59,2020-03-22,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
60,2020-03-23,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
61,2020-03-24,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
62,2020-03-25,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
63,2020-03-26,0,0,0,0,0,7.006492321624085e-46,0.0359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
64,2020-03-27,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
65,2020-03-28,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
66,2020-03-29,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
67,2020-03-30,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
68,2020-03-31,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
69,2020-04-01,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
70,2020-04-02,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
71,2020-04-03,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
72,2020-04-04,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
73,2020-04-05,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
74,2020-04-06,0,0,0,0,0,0.0009765625,0.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
75,2020-04-07,0,0,0,1,0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
76,2020-04-08,0,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
77,2020-04-09,0,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
78,2020-04-10,0,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
