date,Effective Vax t
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,1.7314844795147932e-06
2021-01-28,6.177097844508675e-07
2021-01-29,6.177101660164811e-07
2021-01-30,6.177105475825659e-07
2021-01-31,6.177109291491222e-07
2021-02-01,6.1771131071615e-07
2021-02-02,0.00020670772001083027
2021-02-03,7.41461768174743e-05
2021-02-04,7.41516748806713e-05
2021-02-05,7.349746407591775e-05
2021-02-06,7.35028663501968e-05
2021-02-07,7.350826941869951e-05
2021-02-08,7.351367328160104e-05
2021-02-09,7.351907793907663e-05
2021-02-10,7.352448339130151e-05
2021-02-11,-5.003980805730424e-06
2021-02-12,-5.0039557660318185e-06
2021-02-13,-5.003930726583807e-06
2021-02-14,-5.003905687386385e-06
2021-02-15,-5.00388064843955e-06
2021-02-16,-5.003855609743296e-06
2021-02-17,-5.0038305712976214e-06
2021-02-18,0.0036122380975094673
2021-02-19,0.0012870949202752522
2021-02-20,0.0012887536685755616
2021-02-21,0.0012904166978288797
2021-02-22,0.0012920840246292593
2021-02-23,0.0012937556656566279
2021-02-24,0.0012954316376773438
2021-02-25,0.001297111957544757
2021-02-26,0.0012987966421997732
2021-02-27,-9.301624015635673e-05
2021-02-28,-9.300758894012751e-05
2021-03-01,0.0033376910887837927
2021-03-02,0.0011319789943570093
2021-03-03,0.0011332618229356792
2021-03-04,0.0014064561645895078
2021-03-05,0.001233268610747152
2021-03-06,0.0012347914402712577
2021-03-07,0.0013074395126446215
2021-03-08,0.0013236624815400838
2021-03-09,0.0012865629890679545
2021-03-10,-3.321615148282206e-05
2021-03-11,-3.3215048206749315e-05
2021-03-12,-3.3213945003964873e-05
2021-03-13,-0.0001372765545255189
2021-03-14,-0.0001372577122596978
2021-03-15,0.0007345001744171665
2021-03-16,0.00014656856972613557
2021-03-17,0.0001236004019247703
2021-03-18,0.00012361568087261034
2021-03-19,0.00012363096359835248
2021-03-20,0.0001236462501033981
2021-03-21,0.00012366154038914923
2021-03-22,0.002176175274893119
2021-03-23,0.0011929362033867303
2021-03-24,0.0006439282069848731
2021-03-25,0.0006443431176933325
2021-03-26,0.0006447585634362565
2021-03-27,0.000645174545249217
2021-03-28,0.0006455910641704601
2021-03-29,0.003008874480596314
2021-03-30,0.0014921683434757995
2021-03-31,0.0007041424040226235
2021-04-01,0.0005754973904684463
2021-04-02,0.0005758287784277882
2021-04-03,0.0039279446923956565
2021-04-04,0.0017996374319860383
2021-04-05,0.0018028819658572476
2021-04-06,0.004290547170766526
2021-04-07,0.0017915447628525098
2021-04-08,0.001794760156010587
2021-04-09,0.0017979871116395782
2021-04-10,0.0018012256922193429
2021-04-11,0.0018044759606807132
2021-04-12,0.0004971779245744799
2021-04-13,0.0004974252334196624
2021-04-14,0.0004976727884226103
2021-04-15,-0.00045904945740924476
2021-04-16,-0.00045883882769435326
2021-04-17,-0.0004586283911809964
2021-04-18,0.0112419077308898
2021-04-19,0.003752951664166565
2021-04-20,0.0037670893684810703
2021-04-21,0.00378133399155935
2021-04-22,0.0037956867508918087
2021-04-23,0.0038101488825241303
2021-04-24,0.0038247216414121227
2021-04-25,0.003839406301784733
2021-04-26,0.0038542041575154633
2021-04-27,-0.0007522226657742149
2021-04-28,-0.0007516572521522522
2021-04-29,-0.0007510926878863638
2021-04-30,-0.0007505289710641508
2021-05-01,-0.0007499660997789509
2021-05-02,-0.000749404072129817
2021-05-03,-0.0007488428862214971
2021-05-04,-0.0007482825401644114
2021-05-05,-0.0007477230320746312
2021-05-06,-0.0007471643600738586
2021-05-07,-0.0007466065222894051
2021-05-08,-0.000746049516854171
2021-05-09,-0.0007454933419066237
2021-05-10,0.016063743379899194
2021-05-11,0.005331010403221237
2021-05-12,0.005359582392713716
2021-05-13,0.005995572960991541
2021-05-14,0.005640210648128079
2021-05-15,0.005672203068272093
2021-05-16,0.005704560493808216
2021-05-17,0.011456366108962814
2021-05-18,0.007873577805210178
2021-05-19,0.0010945266163932944
2021-05-20,0.0010957259175743514
2021-05-21,0.00109692784984914
2021-05-22,0.0008578006336878186
2021-05-23,0.000858537087345388
2021-05-24,0.008132073952628107
2021-05-25,0.003472728701500723
2021-05-26,0.001249333698087339
2021-05-27,0.0012508964852191425
2021-05-28,0.001252463187017649
2021-05-29,0.0012540338182102327
2021-05-30,0.0012556083935982335
2021-05-31,0.007573848397420556
2021-06-01,0.0035903301920235968
2021-06-02,0.0007641350384810267
2021-06-03,0.0007647193873595139
2021-06-04,0.0007653046306478062
2021-06-05,0.0007658907704009646
2021-06-06,0.00076647780868035
2021-06-07,0.005958003507817617
2021-06-08,0.002668342872594363
2021-06-09,0.00020014843122640342
2021-06-10,0.0002001884986403556
2021-06-11,0.00020022858209959123
2021-06-12,0.0002002686816137495
2021-06-13,0.00020030879719247908
2021-06-14,0.0002003489288454349
2021-06-15,0.004613072872181836
2021-06-16,-0.00017324453629277692
2021-06-17,-0.00017321452782222566
2021-06-18,-0.00017318452974567918
2021-06-19,-0.00017315454205774002
2021-06-20,-0.0001731245647530113
2021-06-21,-0.00017309459782610155
2021-06-22,0.002688049850125134
2021-06-23,0.0008968635601175512
2021-06-24,-0.0008130889458169373
2021-06-25,-0.0008124283692905991
2021-06-26,-0.0008117688652351749
