,Date,Eat_In_Ban,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship
78,10/4/2020,1,1,1,1,1,1,1,1,1
79,11/4/2020,1,1,1,1,1,1,1,1,1
80,12/4/2020,1,1,1,1,1,1,1,1,1
81,13/4/2020,1,1,1,1,1,1,1,1,1
82,14/4/2020,1,1,1,1,1,1,1,1,1
83,15/4/2020,1,1,1,1,1,1,1,1,1
84,16/4/2020,1,1,1,1,1,1,1,1,1
85,17/4/2020,1,1,1,1,1,1,1,1,1
86,18/4/2020,1,1,1,1,1,1,1,1,1
87,19/4/2020,1,1,1,1,1,1,1,1,1
88,20/4/2020,1,1,1,1,1,1,1,1,1
89,21/4/2020,1,1,1,1,1,1,1,1,1
90,22/4/2020,1,1,1,1,1,1,1,1,1
91,23/4/2020,1,1,1,1,1,1,1,1,1
92,24/4/2020,1,1,1,1,1,1,1,1,1
93,25/4/2020,1,1,1,1,1,1,1,1,1
94,26/4/2020,1,1,1,1,1,1,1,1,1
95,27/4/2020,1,1,1,1,1,1,1,1,1
96,28/4/2020,1,1,1,1,1,1,1,1,1
97,29/4/2020,1,1,1,1,1,1,1,1,1
98,30/4/2020,1,1,1,1,1,1,1,1,1
99,1/5/2020,1,1,1,1,1,1,1,1,1
100,2/5/2020,1,1,1,1,1,1,1,1,1
101,3/5/2020,1,1,1,1,1,1,1,1,1
102,4/5/2020,1,1,1,1,1,1,0.67,1,1
103,5/5/2020,1,1,1,1,1,1,0.67,1,1
104,6/5/2020,1,1,1,1,1,1,0.67,1,1
105,7/5/2020,1,1,1,1,1,1,0.67,1,1
106,8/5/2020,1,1,1,1,1,1,0.67,1,1
107,9/5/2020,1,1,1,1,1,1,0.67,1,1
108,10/5/2020,1,1,1,1,1,1,0.67,1,1
109,11/5/2020,1,1,1,1,1,1,0.67,1,1
110,12/5/2020,1,1,1,1,1,1,0.67,1,1
111,13/5/2020,1,1,1,1,1,1,0.67,1,1
112,14/5/2020,1,1,1,1,1,1,0.67,1,1
113,15/5/2020,1,1,1,1,1,1,0.67,1,1
114,16/5/2020,1,1,1,1,1,1,0.67,1,1
115,17/5/2020,1,1,1,1,1,1,0.67,1,1
116,18/5/2020,1,1,1,1,1,1,0.67,1,1
117,19/5/2020,1,1,1,1,1,1,0.67,1,1
118,20/5/2020,1,1,1,1,1,1,0.67,1,1
119,21/5/2020,1,1,1,1,1,1,0.67,1,1
120,22/5/2020,1,1,1,1,1,1,0.67,1,1
121,23/5/2020,1,1,1,1,1,1,0.67,1,1
122,24/5/2020,1,1,1,1,1,1,0.67,1,1
123,25/5/2020,1,1,1,1,1,1,0.67,1,1
124,26/5/2020,1,1,1,1,1,1,0.67,1,1
125,27/5/2020,1,1,1,1,1,1,0.67,1,1
126,28/5/2020,1,1,1,1,1,1,0.67,1,1
127,29/5/2020,1,1,1,1,1,1,0.67,1,1
128,30/5/2020,1,1,1,1,1,1,0.67,1,1
129,31/5/2020,1,1,1,1,1,1,0.67,1,1
130,1/6/2020,1,1,1,1,1,1,0.67,1,1
131,2/6/2020,1,1,1,0.03125,1,1,0.5,0.03125,1
132,3/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
133,4/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
134,5/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
135,6/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
136,7/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
137,8/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
138,9/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
139,10/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
140,11/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
141,12/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
142,13/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
143,14/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
