date,Effective Vax t
2021-01-11,0.0
2021-01-12,9.697236569086589e-05
2021-01-13,-1.1667784397197902e-06
2021-01-14,-1.1667770783494513e-06
2021-01-15,-1.166775716982289e-06
2021-01-16,-1.1667743556183036e-06
2021-01-17,-1.1667729942574951e-06
2021-01-18,-1.1667716328998635e-06
2021-01-19,-1.1667702715454084e-06
2021-01-20,-1.1667689101941303e-06
2021-01-21,-1.1667675488460288e-06
2021-01-22,0.0018655421745048893
2021-01-23,-2.3628813767774105e-05
2021-01-24,-2.362825546012618e-05
2021-01-25,-2.3627697178861306e-05
2021-01-26,-2.3627138923977607e-05
2021-01-27,0.0018201290099948133
2021-01-28,-4.521273884763207e-05
2021-01-29,-4.521069474829729e-05
2021-01-30,-4.520865083378446e-05
2021-01-31,0.001416394940727468
2021-02-01,-6.28556429827532e-05
2021-02-02,0.0008331321253185539
2021-02-03,3.8134466295010296e-06
2021-02-04,3.8134611719316827e-06
2021-02-05,3.171259223731523e-06
2021-02-06,3.17126928064848e-06
2021-02-07,3.171279337629224e-06
2021-02-08,0.0013397508715687805
2021-02-09,-1.2906094261157993e-05
2021-02-10,0.0012677828680478097
2021-02-11,-0.0001049433727829055
2021-02-12,-0.00010493236082704624
2021-02-13,-8.232605902011957e-05
2021-02-14,-8.231928199805132e-05
2021-02-15,-8.231250609165039e-05
2021-02-16,-8.230573130064132e-05
2021-02-17,-8.229895762474875e-05
2021-02-18,0.003445291402527729
2021-02-19,0.001240527327672939
2021-02-20,0.0012420681471523136
2021-02-21,0.001243612798997339
2021-02-22,0.0012629681477095733
2021-02-23,0.0012645652533452485
2021-02-24,0.0012746675791677885
2021-02-25,0.0012762944302995636
2021-02-26,0.0012779254394202338
2021-02-27,-7.873096417001144e-05
2021-02-28,-7.872476609327286e-05
2021-03-01,0.005661238450153663
2021-03-02,0.0011444720395177416
2021-03-03,0.001145783356532638
2021-03-04,0.002542647590278117
2021-03-05,0.0012565591863334463
2021-03-06,0.0012581401138512006
2021-03-07,0.0023615917290294736
2021-03-08,0.0018232136508981311
2021-03-09,0.0012963331823548296
2021-03-10,3.3041173525831903e-06
2021-03-11,3.304128269810742e-06
2021-03-12,3.3041391871104376e-06
2021-03-13,-9.866908396966355e-05
2021-03-14,-9.865934934203893e-05
2021-03-15,0.0063913696513074655
2021-03-16,0.00012896183445039236
2021-03-17,0.00010632443932678178
2021-03-18,0.00010633574541529345
2021-03-19,0.00010634705390854351
2021-03-20,0.0001063583648072993
2021-03-21,0.00010636967811232841
2021-03-22,0.010211698904591301
2021-03-23,0.0021448086259558646
2021-03-24,0.0005822835885885642
2021-03-25,0.0005826228403068116
2021-03-26,0.0005841073312190891
2021-03-27,0.0005844487119964878
2021-03-28,0.0005847904920463521
2021-03-29,0.008276762377009772
2021-03-30,0.0014150293015195716
2021-03-31,0.0006276627521496536
2021-04-01,0.0004990700241091707
2021-04-02,0.0005058298981595601
2021-04-03,0.00780689472326608
2021-04-04,0.0013105632531390265
2021-04-05,0.0013139590319602122
2021-04-06,0.0069361885200101316
2021-04-07,0.0012465108541890944
2021-04-08,0.0012480665827312195
2021-04-09,0.0012496261994316357
2021-04-10,0.0012511897188848136
2021-04-11,0.0012527571557583578
2021-04-12,0.00036449578202963636
2021-04-13,0.0004539070347706016
2021-04-14,0.0004648266853565635
2021-04-15,-0.0003859162323337705
2021-04-16,-0.0003857673584482408
2021-04-17,-0.0003856185993797895
2021-04-18,0.020385410375571313
2021-04-19,0.0034193845224524243
2021-04-20,0.003491485558677415
2021-04-21,0.0035047389657333044
2021-04-22,0.0035170653617516657
2021-04-23,0.0035294787692761245
2021-04-24,0.003541980112885753
2021-04-25,0.0035899980128424637
2021-04-26,0.0036029325334780557
2021-04-27,-0.0005447182100805059
2021-04-28,-0.0005103823363633704
2021-04-29,-0.0005101219791158389
2021-04-30,-0.0005098618873607826
2021-05-01,-0.0005096020606923153
2021-05-02,-0.0005015690825548119
2021-05-03,-0.0005013176371274894
2021-05-04,-0.0005010664436818988
2021-05-05,-0.0004982689904295532
2021-05-06,-0.0004980208420873534
2021-05-07,-0.0004977729407882138
2021-05-08,-0.0004975252861634038
2021-05-09,-0.0004972778778449262
2021-05-10,0.036397998584233954
2021-05-11,0.005202444529202046
2021-05-12,0.005229651501043283
2021-05-13,0.007834497012823722
2021-05-14,0.005492899466846949
2021-05-15,0.005523238058232282
2021-05-16,0.005553913645450973
2021-05-17,0.014402700737090601
2021-05-18,0.007179227794809231
2021-05-19,0.0009036396443601541
2021-05-20,0.0009044569475145455
2021-05-21,0.0009052757304383565
2021-05-22,0.0006801382717857633
2021-05-23,0.0006806011746924942
2021-05-24,0.014590309618098153
2021-05-25,0.002088947006486875
2021-05-26,0.00045204977982321717
2021-05-27,0.00045225422124435495
2021-05-28,0.00045245884766815207
2021-05-29,0.000452663659345841
2021-05-30,0.0004528686565291084
2021-05-31,0.014463678155472325
2021-06-01,0.0019489574726525719
2021-06-02,0.00039056669139028786
2021-06-03,0.0003907192933319469
2021-06-04,0.00040199864323325386
2021-06-05,0.0004021603111326915
2021-06-06,0.0004023221091172696
2021-06-07,0.015843789493444418
2021-06-08,0.0015192537861672634
2021-06-09,-6.864623836453263e-05
2021-06-10,-6.864152638195091e-05
2021-06-11,-6.131107620217097e-05
2021-06-12,-6.130731738456309e-05
2021-06-13,-6.130355902781297e-05
2021-06-14,-6.129980113183589e-05
2021-06-15,0.013581905586289232
2021-06-16,0.00018986554091101612
2021-06-17,0.00018990159668038956
2021-06-18,0.00018993766614646066
