,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.31630647,0.44826323,0.4093443,0.39720976,0.4390852,0.41736442,0.4287057,0.37755606,0.46245497,0.4709524,0.4165802,0.40137607,0.4462943,0.4255848,0.3445408,0.3709679,0.42202136,0.42322677,0.38046837,0.42207202
1,0.2430931,0.36868507,0.33449292,0.31568024,0.37045452,0.32299206,0.37702507,0.30364224,0.3799039,0.40434748,0.33862677,0.30298042,0.35247937,0.3489759,0.26345146,0.30752784,0.33829075,0.34151566,0.2886462,0.33492532
2,0.20656079,0.32598686,0.29416022,0.27174607,0.33186877,0.27396044,0.3475729,0.26468194,0.33689108,0.36818737,0.2964616,0.25484997,0.30245125,0.30812305,0.22109824,0.2749964,0.29359725,0.2977047,0.24273862,0.2892611
3,0.18577003,0.300534,0.27016598,0.24604112,0.3077166,0.24633054,0.32925615,0.24144295,0.31182542,0.34640527,0.27114013,0.22790533,0.27377206,0.2833674,0.19671333,0.25559184,0.267534,0.27200925,0.21672405,0.26266095
4,0.17269813,0.2842755,0.25501093,0.22972682,0.29121968,0.22845569,0.31652585,0.2262317,0.29532441,0.33112997,0.2541854,0.21024658,0.25460708,0.26723883,0.18102585,0.24297516,0.25060815,0.25526312,0.2000213,0.24528803
5,0.16494003,0.27456522,0.2458546,0.22001308,0.28116181,0.21784638,0.30861577,0.21710207,0.28547883,0.32190824,0.24390578,0.19985886,0.24309392,0.25748286,0.1717099,0.2354698,0.240505,0.24515717,0.19009061,0.23486988
6,0.16011722,0.26833948,0.2400853,0.21391846,0.27460715,0.2113911,0.3033257,0.21123478,0.27936772,0.31587794,0.23732466,0.19329916,0.23584396,0.25130025,0.16583923,0.23071979,0.23407884,0.23875949,0.18406487,0.22829056
7,0.15710801,0.2644253,0.2366646,0.21007074,0.2701802,0.20695336,0.29999438,0.2072098,0.27558213,0.3116751,0.23298591,0.18922281,0.23083705,0.24733713,0.16210872,0.2276856,0.22986767,0.23445097,0.17996335,0.22400707
8,0.15553723,0.26249027,0.23474497,0.20816751,0.2677987,0.20487535,0.29774353,0.2050703,0.27379864,0.30952355,0.23059401,0.18691964,0.22829616,0.24527606,0.16000468,0.22630358,0.22768755,0.23221904,0.17802273,0.2218016
9,0.15595192,0.26325643,0.23586626,0.20964652,0.26753137,0.20614083,0.2967583,0.20505966,0.27477443,0.30928445,0.23048888,0.1866517,0.2285873,0.24551104,0.16050914,0.22661072,0.22854087,0.23273279,0.17862366,0.22237635
10,0.15638308,0.2637265,0.23681521,0.21001516,0.26635754,0.20634405,0.29593015,0.20440695,0.27524912,0.30814055,0.22982094,0.18646911,0.22787096,0.24547422,0.16027871,0.22670928,0.22848228,0.23252724,0.17858233,0.22213109
11,0.15599234,0.26282728,0.23607293,0.20874354,0.26547858,0.20490052,0.2960883,0.20359842,0.2746751,0.30737862,0.22909625,0.1863242,0.22677474,0.24489093,0.15946992,0.22638372,0.22735338,0.23158154,0.17775202,0.22135215
12,0.15581629,0.26274088,0.23582433,0.20859315,0.2650257,0.20474371,0.29546753,0.20334059,0.27444738,0.30701825,0.22861497,0.1858573,0.22636649,0.24458688,0.15911053,0.22629766,0.22712193,0.23131534,0.1775172,0.2209986
13,0.15631145,0.26338664,0.23661873,0.2090704,0.26529023,0.20522137,0.29555878,0.20365983,0.27478582,0.30688858,0.22895928,0.1860791,0.22662923,0.24518678,0.15945376,0.22656272,0.22756855,0.23178655,0.17795487,0.2212626
14,0.15664381,0.26378438,0.23719527,0.20945136,0.26506498,0.20526451,0.2955173,0.20346929,0.27558455,0.30677843,0.22893861,0.18642117,0.2265094,0.24546278,0.15954532,0.22703381,0.2276817,0.23180081,0.1781451,0.22157742
15,0.15722884,0.2646583,0.23809107,0.210511,0.26572436,0.20607059,0.29594648,0.20401897,0.27660307,0.30739748,0.22962248,0.18710575,0.22719961,0.24621107,0.1603055,0.22777137,0.2284547,0.23247549,0.17884973,0.22245795
16,0.16023812,0.26884592,0.24255736,0.21651879,0.26778576,0.21273628,0.2958887,0.20677166,0.2814622,0.3101536,0.23213233,0.18948714,0.23179601,0.24895132,0.1639472,0.23037052,0.23350224,0.2367634,0.18323159,0.22675842
17,0.16219343,0.27065322,0.24624296,0.21827558,0.26507252,0.2142125,0.29441786,0.20546296,0.28392383,0.30771485,0.23106341,0.19004774,0.23093551,0.24952208,0.16405547,0.2310662,0.23423909,0.2371267,0.18401268,0.22718842
18,0.16301437,0.27173597,0.24693707,0.21759179,0.26571354,0.21255809,0.2957508,0.20568408,0.28435168,0.3073062,0.23166531,0.19114034,0.22995645,0.2510151,0.16391787,0.23241599,0.23355615,0.2368278,0.1838936,0.22702284
19,0.16380556,0.27275923,0.24777183,0.21857782,0.26678458,0.21372871,0.29655114,0.20675343,0.28539315,0.30841106,0.23270747,0.1921689,0.23135205,0.25203216,0.16484664,0.23325455,0.23470895,0.23805195,0.18503103,0.22818555
20,0.16457151,0.27373677,0.2488951,0.21935286,0.26714373,0.2144036,0.29683438,0.20718472,0.28623462,0.30855325,0.23324586,0.19278291,0.23179027,0.25287154,0.16537462,0.23389223,0.23534614,0.23867974,0.18570754,0.22879605
21,0.16594869,0.27543747,0.25091583,0.22061156,0.26777893,0.21508154,0.29781333,0.20793799,0.28790316,0.30888662,0.23422353,0.19418351,0.23229147,0.25445092,0.16636012,0.2352946,0.23630029,0.23963773,0.18672375,0.22994922
22,0.16661444,0.2768153,0.25154835,0.22180882,0.2699416,0.21607523,0.29892725,0.20948672,0.2888105,0.3104737,0.23586576,0.19521588,0.2337465,0.25597522,0.16757315,0.23647015,0.23750399,0.24085245,0.18789482,0.23117574
23,0.16969939,0.28067797,0.2560968,0.2296748,0.27213004,0.22605735,0.29815164,0.21259455,0.29481283,0.314685,0.23863724,0.19787225,0.24087308,0.25796142,0.17232242,0.23846436,0.24442679,0.24651094,0.19368385,0.23690517
24,0.17240933,0.28333384,0.2614827,0.23190928,0.26748908,0.22743918,0.29559886,0.21017398,0.29810938,0.3104459,0.2364865,0.1981683,0.23865193,0.25851145,0.17192104,0.23946206,0.24484667,0.24641173,0.19425844,0.23693536
25,0.17375463,0.28510767,0.26276037,0.23055018,0.26842728,0.22407326,0.29797667,0.21042092,0.29868543,0.30953434,0.23738307,0.200012,0.23650534,0.26102108,0.17160094,0.24172418,0.24343748,0.24561222,0.1937339,0.23644553
