,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.69502246,-0.29633516,-0.6992374,-0.048624218,-0.012251154,-1.1556435,-1.1489382,1.310216,-1.0193944,-0.98465395,-0.44412893,-0.99691284,-0.84676963,0.09693679,-0.104279965,1.1832829,0.61807436,-1.3392795,0.83619267,-1.218266
1,1.0049644,-0.1957092,-0.9963063,0.0550825,-0.2613285,-1.4637384,-1.9499309,1.8272395,-1.3236105,-1.4420246,-0.5753125,-1.2226858,-1.1622869,0.04652512,0.18699723,1.6441766,0.87684333,-1.9006228,1.1296325,-1.7279494
2,1.2059789,-0.113642335,-1.2084908,0.113539875,-0.42550373,-1.596155,-2.5676222,2.1276317,-1.4716455,-1.7414668,-0.70019424,-1.3128866,-1.335395,0.04855776,0.42686403,1.8924848,1.0574915,-2.2157323,1.2999566,-2.0556712
3,1.3333194,-0.058243006,-1.3372824,0.15624344,-0.5324123,-1.6594269,-3.015444,2.312406,-1.5503967,-1.9379177,-0.77724564,-1.3569388,-1.4474767,0.05314344,0.5952302,2.0458236,1.1734874,-2.4026756,1.4074594,-2.2785382
4,1.4201906,-0.0060271025,-1.4103947,0.1976865,-0.6131276,-1.6850035,-3.3332617,2.4327312,-1.5815452,-2.0668387,-0.8234143,-1.3697016,-1.533568,0.04758835,0.7267212,2.1460564,1.2555294,-2.523193,1.4746412,-2.4273636
5,1.4755027,0.02707702,-1.4567615,0.22820646,-0.6644437,-1.6974174,-3.5417721,2.506472,-1.599669,-2.1504786,-0.85359037,-1.3734125,-1.5837517,0.044647455,0.8108919,2.2057738,1.3066239,-2.5959072,1.5169041,-2.5207026
6,1.5068729,0.052633345,-1.4803491,0.25293404,-0.6998364,-1.6987548,-3.6831126,2.5514832,-1.6093674,-2.2039561,-0.8574441,-1.370825,-1.6192617,0.042252243,0.86971354,2.245171,1.3380717,-2.6378157,1.5432618,-2.5850823
7,1.5257214,0.07362479,-1.4829459,0.27086908,-0.7243298,-1.6967213,-3.7715795,2.576334,-1.6109681,-2.2322805,-0.85919106,-1.3645285,-1.6427993,0.035746813,0.90916157,2.265751,1.3564489,-2.6620202,1.557359,-2.6239963
8,1.5338179,0.08937889,-1.4828136,0.28183663,-0.7398067,-1.691071,-3.8181384,2.5864503,-1.6080313,-2.2464356,-0.85567266,-1.3566675,-1.6560886,0.031230211,0.9324422,2.2771573,1.3661251,-2.6696205,1.5642538,-2.6410413
9,1.5063806,0.094435066,-1.4626572,0.29245043,-0.7399336,-1.6731741,-3.831009,2.5729837,-1.6026531,-2.239566,-0.82420427,-1.3374543,-1.6603948,0.028154016,0.9404544,2.2743835,1.3530142,-2.6465821,1.5649688,-2.640296
10,1.489471,0.11295363,-1.4238877,0.3144034,-0.7522205,-1.6462994,-3.8277628,2.554092,-1.5779718,-2.2227035,-0.74794364,-1.3089259,-1.6639462,0.011214256,0.95427275,2.2651596,1.3427396,-2.6227882,1.5572106,-2.628678
11,1.5094569,0.12169525,-1.4177027,0.31712908,-0.76039726,-1.6453512,-3.829668,2.5606742,-1.5709084,-2.2191846,-0.76691025,-1.3107476,-1.6680875,0.005370021,0.9625718,2.264343,1.3532602,-2.6340156,1.5523591,-2.6315265
12,1.5108988,0.12883446,-1.4088781,0.3221473,-0.7641957,-1.6402756,-3.8301535,2.5577376,-1.5639646,-2.2204182,-0.7624494,-1.3029835,-1.6703166,0.0018528104,0.970222,2.2643902,1.3550918,-2.6305304,1.5496764,-2.6295521
13,1.5034038,0.13704455,-1.3934422,0.3275603,-0.76904386,-1.6290255,-3.813777,2.5482273,-1.552008,-2.2054718,-0.73994815,-1.2903037,-1.6709802,-0.0037081838,0.97559774,2.257825,1.350087,-2.6196842,1.5429893,-2.6224475
14,1.5017431,0.14266023,-1.3849988,0.32993025,-0.7693441,-1.6218952,-3.8065166,2.5408478,-1.5479754,-2.1997912,-0.73550856,-1.2854425,-1.6705143,-0.011451006,0.9773097,2.2528648,1.348843,-2.61281,1.5381076,-2.6144989
15,1.4947906,0.1374518,-1.3822309,0.32580966,-0.7645111,-1.6204386,-3.7919319,2.536948,-1.5493084,-2.1965559,-0.74554574,-1.287875,-1.6671784,-0.009224057,0.9709693,2.2489934,1.3443354,-2.6069283,1.536464,-2.6075723
16,1.4139353,0.13661999,-1.3194165,0.34651166,-0.7478303,-1.580064,-3.764704,2.4790812,-1.5295057,-2.1550498,-0.63022506,-1.2396235,-1.6609632,-0.017207861,0.95491564,2.2304451,1.2970617,-2.527177,1.5284286,-2.5750458
17,1.3627344,0.18596312,-1.2040055,0.39823014,-0.7794642,-1.5063593,-3.7046306,2.4144497,-1.4614546,-2.0913491,-0.38244364,-1.1581972,-1.6667434,-0.07096797,0.9791913,2.2002692,1.2648706,-2.457564,1.4984671,-2.5302787
18,1.3974129,0.21024829,-1.1775963,0.39788765,-0.7913267,-1.4921494,-3.654776,2.4112015,-1.4337757,-2.0716484,-0.46152383,-1.1543303,-1.6633241,-0.082796216,0.9943569,2.1778624,1.2776903,-2.4606724,1.4718508,-2.5057282
19,1.4001637,0.20795298,-1.1734047,0.3894781,-0.787644,-1.492686,-3.6132774,2.4048324,-1.4278913,-2.0599132,-0.4706088,-1.1554163,-1.6587915,-0.08400768,0.9898011,2.1724973,1.2794111,-2.4577265,1.4635861,-2.4927952
20,1.3919705,0.21515152,-1.160697,0.3932861,-0.79010844,-1.4820302,-3.585783,2.3909466,-1.4194856,-2.0466459,-0.44551697,-1.1437964,-1.6574085,-0.09153539,0.98992383,2.164857,1.272769,-2.443411,1.4565234,-2.478677
21,1.3851777,0.22172597,-1.1453882,0.39260834,-0.78956574,-1.4695475,-3.5569737,2.376548,-1.4101362,-2.0293818,-0.44906515,-1.1335281,-1.6529546,-0.09545612,0.9909099,2.149991,1.2668556,-2.4272304,1.44413,-2.4639835
22,1.3867648,0.2107307,-1.163439,0.37742388,-0.7768969,-1.481511,-3.5382802,2.3797317,-1.4178729,-2.0316973,-0.5099656,-1.1491586,-1.6456305,-0.08399153,0.98088175,2.1458333,1.2677238,-2.4308496,1.4442725,-2.4578407
23,1.2776769,0.19454467,-1.0833197,0.40626258,-0.7502701,-1.441076,-3.513962,2.3092048,-1.4074938,-1.984611,-0.3184261,-1.094549,-1.6368873,-0.096015036,0.94322157,2.1369386,1.202492,-2.333725,1.4458826,-2.4253025
24,1.2073083,0.26459512,-0.9279051,0.47757566,-0.79405534,-1.3374027,-3.4483209,2.2211165,-1.3175633,-1.9077952,0.0083425045,-0.9827025,-1.6489282,-0.17053276,0.9818896,2.0985699,1.1606278,-2.237174,1.4031981,-2.3706107
25,1.2608037,0.30072978,-0.8988807,0.47378063,-0.81496495,-1.3149084,-3.3856208,2.2211242,-1.2725726,-1.8798338,-0.11798015,-0.9774283,-1.6437519,-0.18240458,1.012907,2.0606985,1.1838324,-2.247208,1.3670931,-2.337513
26,1.2719133,0.3064173,-0.89000213,0.466138,-0.81678665,-1.3133307,-3.3277864,2.2139723,-1.2662649,-1.8658929,-0.14186293,-0.97521776,-1.6403844,-0.18966007,1.0143964,2.0537949,1.1886703,-2.2465816,1.3546054,-2.3181334
27,1.2654834,0.3091647,-0.88196397,0.46468425,-0.8166944,-1.3049451,-3.3074577,2.2030468,-1.2547153,-1.8526075,-0.13012716,-0.96582866,-1.6375177,-0.1902892,1.0163723,2.0469012,1.1859607,-2.2345903,1.3467876,-2.3090894
28,1.2687125,0.32242548,-0.8748001,0.46159685,-0.8234395,-1.2941402,-3.283872,2.197165,-1.2442462,-1.8431029,-0.16338328,-0.9569905,-1.6399897,-0.19506219,1.0370952,2.034962,1.1904539,-2.2290096,1.3375978,-2.301556
29,1.2789538,0.30526996,-0.9085735,0.43707418,-0.8058335,-1.3133223,-3.2586398,2.2082624,-1.2626468,-1.8479809,-0.27287093,-0.9838125,-1.6263433,-0.17369837,1.0219959,2.0283177,1.1941596,-2.242178,1.3374746,-2.2937624
30,1.1732032,0.24987486,-0.8723456,0.4507268,-0.751949,-1.3119203,-3.261321,2.1585596,-1.2908814,-1.8271143,-0.116514504,-0.97126687,-1.6103303,-0.16349196,0.9350097,2.0392797,1.125675,-2.1677454,1.3584182,-2.277687
31,1.1087046,0.31568342,-0.7393178,0.50850093,-0.7968855,-1.219836,-3.2147872,2.084107,-1.206245,-1.7606282,0.18374674,-0.86970353,-1.6216888,-0.22560602,0.98195815,2.0026517,1.0916116,-2.0835092,1.322358,-2.2345307
32,1.1705256,0.369192,-0.710464,0.5114271,-0.83729345,-1.1886287,-3.1626503,2.0875428,-1.1584325,-1.7433507,0.07339549,-0.84802794,-1.6303622,-0.24567214,1.0537522,1.9739635,1.1274194,-2.1001954,1.2897303,-2.2136014
33,1.1877022,0.38227537,-0.69445825,0.5121291,-0.8479523,-1.1809263,-3.1138806,2.082261,-1.1429214,-1.7298427,0.052326232,-0.8397092,-1.6306453,-0.25770319,1.0688864,1.969028,1.136858,-2.1021304,1.27704,-2.1973262
34,1.1885831,0.39400983,-0.6713319,0.518224,-0.85564154,-1.1674612,-3.0865624,2.0696967,-1.1247208,-1.7137551,0.07316959,-0.82540494,-1.632626,-0.27306604,1.0842557,1.9618595,1.1389507,-2.0927756,1.2684954,-2.18392
35,1.1926274,0.41174287,-0.66234815,0.51728666,-0.86847395,-1.1502333,-3.0581336,2.0609233,-1.1064668,-1.7011567,0.04002577,-0.8078024,-1.6344178,-0.2782524,1.1201084,1.9492205,1.1442082,-2.084133,1.2584385,-2.1731339
36,1.2098199,0.3877105,-0.7194975,0.48415154,-0.84850377,-1.1802984,-3.0420747,2.0792887,-1.1271565,-1.7084861,-0.10703677,-0.8477517,-1.6199043,-0.25040302,1.1010009,1.9458656,1.1540638,-2.1082654,1.2637537,-2.1719906
37,1.1071235,0.29955626,-0.7098647,0.48302895,-0.76430774,-1.2100888,-3.0539708,2.0447214,-1.1918216,-1.6986678,0.017950535,-0.8789208,-1.5895439,-0.22133583,0.93910295,1.9634771,1.0762922,-2.0478144,1.2898291,-2.1596227
38,1.0441159,0.3647198,-0.5905861,0.5352404,-0.8099264,-1.1244016,-3.025767,1.9794867,-1.1175718,-1.6489043,0.291763,-0.7773519,-1.6045029,-0.27620304,1.0029975,1.9304756,1.046379,-1.970269,1.2584147,-2.1290257
39,1.1231121,0.43160295,-0.5622202,0.539788,-0.8708824,-1.0832787,-2.9557736,1.9791812,-1.0547273,-1.6250582,0.17566629,-0.74132776,-1.6182649,-0.31502506,1.121265,1.9024646,1.0976042,-1.9971237,1.2248092,-2.1060228
40,1.1506457,0.44989324,-0.55940515,0.5409253,-0.88710624,-1.0751381,-2.9134026,1.9783839,-1.0366606,-1.6151016,0.14341125,-0.73257977,-1.6215808,-0.3276707,1.1498804,1.8989443,1.1161556,-2.0076227,1.2142652,-2.0923653
41,1.1599495,0.45835128,-0.55119693,0.540089,-0.8948901,-1.068459,-2.8752654,1.9682049,-1.0230124,-1.6027107,0.15261959,-0.7246332,-1.6184732,-0.34269515,1.1620332,1.8942707,1.1221818,-2.0056357,1.2059413,-2.0751934
42,1.1707144,0.4744001,-0.5465472,0.5366627,-0.9075417,-1.054956,-2.8287742,1.9569714,-1.0054051,-1.586611,0.11951721,-0.7105196,-1.6209401,-0.35399252,1.194107,1.8830221,1.1317238,-2.0022333,1.1950419,-2.0578098
43,1.1854224,0.44081062,-0.6161665,0.50014615,-0.8784881,-1.0880558,-2.7648962,1.9600058,-1.0268389,-1.5756136,-0.02680406,-0.7537472,-1.593509,-0.32487088,1.148979,1.8738532,1.1339557,-2.018759,1.1906216,-2.0428522
44,1.0742123,0.31387973,-0.64058125,0.47294492,-0.75254595,-1.159389,-2.789985,1.9406085,-1.1296368,-1.580556,0.069947004,-0.83500624,-1.5365288,-0.2642269,0.90000755,1.8907337,1.0397853,-1.9603546,1.2235099,-2.0351338
45,1.0073146,0.37371278,-0.52359545,0.51806843,-0.7990439,-1.0774498,-2.75689,1.879108,-1.061536,-1.5323732,0.33288622,-0.7357742,-1.5617201,-0.32035872,0.9757701,1.8646319,1.0116913,-1.8886635,1.1986451,-2.0087855
46,1.1041474,0.4504763,-0.51625896,0.52023566,-0.87153625,-1.0265954,-2.6154904,1.845325,-0.9839352,-1.4806485,0.21168715,-0.68107957,-1.5636002,-0.37958553,1.105951,1.825141,1.0713465,-1.9167633,1.145701,-1.9558792
47,1.1363139,0.466468,-0.5166273,0.5099631,-0.88428396,-1.0195704,-2.4910653,1.8258173,-0.9586061,-1.4470735,0.17862308,-0.6721314,-1.5563974,-0.40043786,1.1162716,1.8105614,1.0895709,-1.9202685,1.1209149,-1.913496
48,1.1495788,0.4749391,-0.5102752,0.50594544,-0.8934734,-1.0135398,-2.413083,1.8089378,-0.94317615,-1.4230964,0.18654887,-0.66403466,-1.5491745,-0.41958535,1.1201601,1.8026083,1.0953536,-1.9188237,1.1057746,-1.882409
49,1.1667668,0.48681414,-0.5217444,0.4960714,-0.9043733,-1.0033123,-2.3199823,1.7903244,-0.9238601,-1.3966799,0.1379894,-0.6495403,-1.5399891,-0.43264765,1.1425376,1.7873344,1.106794,-1.9193575,1.082688,-1.849715
50,1.1938602,0.43429822,-0.6603208,0.43163186,-0.8655694,-1.0491452,-2.1551516,1.7766788,-0.9571583,-1.3652138,-0.03915277,-0.7057227,-1.4887586,-0.40260428,1.0640979,1.7682341,1.114472,-1.9434867,1.0708073,-1.7963177
51,1.0512644,0.2364268,-0.71413225,0.3774013,-0.6725761,-1.1717209,-2.2794833,1.7926183,-1.1201864,-1.4149675,0.026323348,-0.8689281,-1.3963578,-0.28727326,0.72101367,1.7916583,0.9887157,-1.8744618,1.135678,-1.8260207
52,0.98383754,0.3097924,-0.5793331,0.43386173,-0.72992915,-1.0810289,-2.2783806,1.7418354,-1.0438555,-1.37408,0.28809536,-0.7505356,-1.4490924,-0.34770596,0.8253121,1.7738876,0.9621747,-1.8102541,1.1127702,-1.8126898
53,1.1233714,0.44853535,-0.5858675,0.44383687,-0.8543216,-0.98748946,-1.95618,1.6477454,-0.91118574,-1.2706347,0.15406917,-0.6244003,-1.4377108,-0.450437,0.9917609,1.7075994,1.0490195,-1.8366997,0.99962854,-1.677069
54,1.1658182,0.47855717,-0.57929647,0.43102512,-0.8753639,-0.9652896,-1.7418317,1.6024045,-0.8604552,-1.2134894,0.11455391,-0.5982728,-1.4162652,-0.48565745,1.013924,1.66985,1.077707,-1.8326955,0.95753384,-1.5925183
