,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.31631476,0.44827485,0.40935603,0.39722592,0.4390928,0.41737846,0.42870587,0.37756255,0.46246752,0.47095752,0.41658786,0.40138286,0.4463029,0.42559433,0.34455165,0.37097633,0.42203248,0.42323524,0.38047996,0.42208263
1,0.24366908,0.36944446,0.33494142,0.31602055,0.37162706,0.32381088,0.37786186,0.3050945,0.37989458,0.40541306,0.33972493,0.30376947,0.35362032,0.34979543,0.26422405,0.30792165,0.33921164,0.3426149,0.28945652,0.33559918
2,0.20614666,0.3254861,0.29360306,0.27127227,0.33171698,0.27381843,0.34740117,0.26441285,0.33658928,0.36830103,0.29634118,0.25467655,0.30245808,0.30769843,0.22080587,0.27462164,0.29327464,0.29739308,0.24250478,0.28896147
3,0.18517531,0.2998829,0.2696463,0.24555631,0.3066227,0.24541864,0.32849273,0.2406296,0.31114304,0.34548694,0.27006888,0.22687912,0.2725573,0.2824846,0.19596268,0.25508323,0.26677024,0.2711545,0.21580169,0.26189354
4,0.17232616,0.28396383,0.25462225,0.22948292,0.2905244,0.22810183,0.31593478,0.22576022,0.29492876,0.33069253,0.2535128,0.20966232,0.25400954,0.26662055,0.18057868,0.24266848,0.25022444,0.25477836,0.19948417,0.24479507
5,0.16465554,0.2742202,0.24554347,0.21951865,0.28072575,0.21742772,0.3083692,0.21678677,0.28485692,0.32144153,0.2435027,0.19946805,0.24256027,0.25706467,0.17134696,0.23502329,0.24009313,0.24473903,0.189594,0.234269
6,0.15991575,0.26813033,0.23989552,0.2137629,0.27417055,0.21107328,0.30310398,0.21083441,0.27930066,0.31558445,0.236928,0.19313483,0.23546854,0.25095466,0.16561836,0.23056147,0.23384531,0.23840706,0.18370387,0.22801886
7,0.15730275,0.26472557,0.23687895,0.21032965,0.27037248,0.20730384,0.30003583,0.20746075,0.27576372,0.31187877,0.23318085,0.18936375,0.23114581,0.24754944,0.1622783,0.22786003,0.23015384,0.23474672,0.1802238,0.22422916
8,0.15602423,0.2632269,0.23546186,0.20878501,0.26808137,0.20538329,0.29807618,0.20551218,0.27426702,0.30972525,0.23095964,0.18736003,0.22868331,0.24578457,0.16047314,0.22671269,0.22825843,0.2327444,0.17841564,0.22222488
9,0.15622428,0.26371875,0.23622166,0.20999834,0.26742452,0.20640713,0.29663995,0.20511085,0.2751798,0.30924252,0.23046356,0.18681748,0.22863242,0.24572082,0.16059768,0.22695686,0.22875927,0.2328932,0.17881238,0.2225176
10,0.15668117,0.2641154,0.23718514,0.21037057,0.26625726,0.20661859,0.29587656,0.20446342,0.27570885,0.30809835,0.22979735,0.18669936,0.22786835,0.24569045,0.16040392,0.22706105,0.22870648,0.23266737,0.17881301,0.22230496
11,0.15651377,0.26362145,0.23683693,0.20946178,0.26553825,0.2055524,0.2959453,0.20386232,0.2753101,0.3074056,0.2292654,0.18658791,0.22701618,0.24536067,0.15978497,0.22688836,0.22787368,0.23202172,0.17821413,0.22172646
12,0.15647267,0.26360196,0.23670681,0.20939584,0.26559952,0.20554101,0.29589495,0.2039181,0.27520955,0.3074402,0.22926384,0.18650879,0.22703665,0.24535134,0.15973656,0.22688285,0.22784768,0.23202774,0.17822996,0.2216895
13,0.15653336,0.26375535,0.2368926,0.20955697,0.2653003,0.20567931,0.29560927,0.20377031,0.27536738,0.30723956,0.22907089,0.18643248,0.22700498,0.24528608,0.15970373,0.22688524,0.22794574,0.23205002,0.1782263,0.22166128
14,0.15698312,0.26415482,0.2376738,0.20999645,0.265287,0.20587322,0.29579794,0.2037571,0.27609652,0.30713618,0.22928639,0.1868322,0.22709136,0.24575247,0.15996988,0.22728913,0.2281734,0.23228237,0.17858255,0.22210604
15,0.15773675,0.2653937,0.23871356,0.21113478,0.26654378,0.20679629,0.29644373,0.20474741,0.27702138,0.30794907,0.23035549,0.18767504,0.22784528,0.24694031,0.16092756,0.22822084,0.22912903,0.23313037,0.17945667,0.2229735
16,0.16074379,0.26952863,0.24323711,0.21722722,0.26851097,0.213555,0.29631722,0.20734976,0.28215036,0.3107122,0.23285167,0.19011097,0.23265176,0.24965219,0.16461161,0.23080584,0.23424171,0.2374849,0.18394317,0.22742903
17,0.16252898,0.2710534,0.24682596,0.2188123,0.2652409,0.21483731,0.29448956,0.2057168,0.28433922,0.3079096,0.23135956,0.19032057,0.23134074,0.24981049,0.16444477,0.23123422,0.23470122,0.23754199,0.18440436,0.22757386
18,0.16340072,0.27223128,0.24731195,0.21805052,0.26621982,0.21305539,0.29626694,0.20606728,0.28502896,0.30789608,0.23220275,0.191854,0.23055544,0.25149786,0.16437402,0.23290579,0.23400556,0.23724855,0.18439825,0.22757299
19,0.16425978,0.27331683,0.2484018,0.21916986,0.2671051,0.21426184,0.2968862,0.20704009,0.2860867,0.30874345,0.23313709,0.19275175,0.23175219,0.25251403,0.165306,0.23370795,0.235163,0.23843421,0.18549556,0.22869398
20,0.16487525,0.27423787,0.2492675,0.21989076,0.26727012,0.21501993,0.29679358,0.20742178,0.28676528,0.30883268,0.23341762,0.19305663,0.23229417,0.2531241,0.16565758,0.23421293,0.23585682,0.23911563,0.18611212,0.2291825
21,0.16609547,0.27575856,0.25113565,0.22090556,0.26772183,0.2152998,0.2976862,0.20799531,0.28821912,0.30892125,0.23421557,0.19421598,0.23249604,0.25458,0.16642067,0.23550811,0.23653567,0.23985396,0.18691574,0.23015276
22,0.16676158,0.27694845,0.25166595,0.22189221,0.2699988,0.21622932,0.29904792,0.20950784,0.28918466,0.31065777,0.23597535,0.19553198,0.23401274,0.256115,0.16765672,0.23664536,0.23767726,0.24100003,0.18808247,0.23137896
23,0.17002651,0.2809678,0.25654933,0.23020753,0.27230754,0.22665878,0.29842842,0.21279845,0.2954099,0.31500202,0.23895639,0.19832176,0.24147756,0.2582148,0.17275518,0.23867257,0.24491918,0.24696633,0.19415188,0.23745781
24,0.17314442,0.28413498,0.26244238,0.2326574,0.26815438,0.22819763,0.29626486,0.21083692,0.29886264,0.31097567,0.23724623,0.19900371,0.23935708,0.25932878,0.17263514,0.24004053,0.24559712,0.24717745,0.19497912,0.23770545
25,0.1741983,0.28560883,0.26353124,0.23130749,0.26819393,0.224764,0.29786012,0.21037273,0.29953465,0.30953678,0.23743208,0.20035526,0.23685528,0.26121807,0.1719435,0.24203831,0.2439127,0.24597248,0.194156,0.23693934
26,0.17506261,0.286616,0.2644986,0.23206425,0.2693598,0.22552292,0.29862398,0.21135932,0.3004771,0.31028894,0.23849006,0.20129386,0.2378379,0.26249364,0.17274322,0.24292935,0.24483632,0.24702387,0.19522612,0.23793015
27,0.17581677,0.2876764,0.2655925,0.23272957,0.27008155,0.22615783,0.2991567,0.212053,0.30106816,0.31061688,0.23925932,0.20201384,0.23841773,0.26347455,0.17339507,0.24347891,0.24560006,0.24777113,0.19586083,0.2384634
28,0.17703412,0.28969246,0.26735765,0.2338402,0.27136686,0.22644237,0.3001899,0.21317147,0.30227023,0.311028,0.24048652,0.20317678,0.23873994,0.26540706,0.17439099,0.24503617,0.24643487,0.24864714,0.19676389,0.23930275
29,0.17776679,0.291136,0.26794955,0.23504627,0.27474126,0.22717111,0.3022535,0.21536048,0.30311996,0.31322023,0.24296844,0.2047068,0.24041444,0.2676002,0.17611898,0.24650383,0.2477608,0.25004855,0.19811834,0.24083915
30,0.18031645,0.29394406,0.27079207,0.24364604,0.27872875,0.23908533,0.30246067,0.21956508,0.309529,0.32026786,0.24694404,0.20817655,0.25027034,0.26909378,0.18191612,0.24829547,0.25581023,0.25675225,0.2051005,0.24818087
31,0.18247324,0.296057,0.2757761,0.24454673,0.2733063,0.23891722,0.29981005,0.21650456,0.3113381,0.3150084,0.24412237,0.20765863,0.2468289,0.26903147,0.18062556,0.24844709,0.25512356,0.2557556,0.20439056,0.24688716
