,Date,Lockdown,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship,Dine_in_Max,School_Restriction
67,2020-03-30,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
68,2020-03-31,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
69,2020-04-01,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
70,2020-04-02,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
71,2020-04-03,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
72,2020-04-04,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
73,2020-04-05,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
74,2020-04-06,0,0.0009765625,0.5,1.0,0.0,7.006492321624085e-46,1.0,7.006492321624085e-46,1.0
75,2020-04-07,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,2020-04-08,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
77,2020-04-09,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,2020-04-10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
79,2020-04-11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
80,2020-04-12,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
81,2020-04-13,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,2020-04-14,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
83,2020-04-15,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,2020-04-16,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,2020-04-17,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
86,2020-04-18,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
87,2020-04-19,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88,2020-04-20,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
89,2020-04-21,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,2020-04-22,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
91,2020-04-23,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,2020-04-24,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
93,2020-04-25,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
94,2020-04-26,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
95,2020-04-27,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
96,2020-04-28,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
97,2020-04-29,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
98,2020-04-30,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
99,2020-05-01,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
100,2020-05-02,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
101,2020-05-03,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
102,2020-05-04,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
103,2020-05-05,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
104,2020-05-06,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
105,2020-05-07,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
106,2020-05-08,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
107,2020-05-09,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
108,2020-05-10,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
109,2020-05-11,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
110,2020-05-12,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
111,2020-05-13,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
112,2020-05-14,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
113,2020-05-15,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
114,2020-05-16,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
115,2020-05-17,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
116,2020-05-18,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
117,2020-05-19,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
118,2020-05-20,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
119,2020-05-21,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
120,2020-05-22,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
121,2020-05-23,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
122,2020-05-24,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
123,2020-05-25,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
124,2020-05-26,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
125,2020-05-27,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
126,2020-05-28,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
127,2020-05-29,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
128,2020-05-30,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
129,2020-05-31,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
130,2020-06-01,1,1.0,1.0,1.0,0.6699999999999999,1.0,1.0,1.0,0.0
131,2020-06-02,1,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
132,2020-06-03,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
133,2020-06-04,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
134,2020-06-05,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
135,2020-06-06,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
136,2020-06-07,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
137,2020-06-08,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
138,2020-06-09,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
139,2020-06-10,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
140,2020-06-11,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
141,2020-06-12,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
142,2020-06-13,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
143,2020-06-14,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
144,2020-06-15,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
145,2020-06-16,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
146,2020-06-17,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
147,2020-06-18,0,0.03125,1.0,1.0,0.5,0.03125,1.0,1.0,0.35
148,2020-06-19,0,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125,0.35
149,2020-06-20,0,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125,0.35
150,2020-06-21,0,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125,0.35
151,2020-06-22,0,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125,0.35
152,2020-06-23,0,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125,0.35
153,2020-06-24,0,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125,0.35
154,2020-06-25,0,0.03125,0.3125,1.0,0.5,0.03125,1.0,0.03125,0.35
155,2020-06-26,0,0.03125,0.3125,1.0,0.5,0.03125,0.75,0.03125,0.35
156,2020-06-27,0,0.03125,0.3125,1.0,0.5,0.03125,0.75,0.03125,0.35
157,2020-06-28,0,0.03125,0.3125,1.0,0.5,0.03125,0.75,0.03125,0.35
158,2020-06-29,0,0.03125,0.3125,1.0,0.5,0.03125,0.75,0.03125,0.8
159,2020-06-30,0,0.03125,0.3125,1.0,0.5,0.03125,0.75,0.03125,0.8
160,2020-07-01,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
161,2020-07-02,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
162,2020-07-03,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
163,2020-07-04,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
164,2020-07-05,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
165,2020-07-06,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
166,2020-07-07,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
167,2020-07-08,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
168,2020-07-09,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
169,2020-07-10,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
170,2020-07-11,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
171,2020-07-12,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
172,2020-07-13,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
173,2020-07-14,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
174,2020-07-15,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
175,2020-07-16,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
176,2020-07-17,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
177,2020-07-18,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
178,2020-07-19,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
179,2020-07-20,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
180,2020-07-21,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
181,2020-07-22,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
182,2020-07-23,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
183,2020-07-24,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
184,2020-07-25,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
185,2020-07-26,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
186,2020-07-27,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
187,2020-07-28,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
188,2020-07-29,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
189,2020-07-30,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
190,2020-07-31,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
191,2020-08-01,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
192,2020-08-02,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
193,2020-08-03,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
194,2020-08-04,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
195,2020-08-05,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
196,2020-08-06,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
197,2020-08-07,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
198,2020-08-08,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
199,2020-08-09,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
200,2020-08-10,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
201,2020-08-11,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
202,2020-08-12,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
203,2020-08-13,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
204,2020-08-14,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
205,2020-08-15,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
206,2020-08-16,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
207,2020-08-17,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
208,2020-08-18,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
209,2020-08-19,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
210,2020-08-20,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
211,2020-08-21,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
212,2020-08-22,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
213,2020-08-23,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
214,2020-08-24,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
215,2020-08-25,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
216,2020-08-26,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
217,2020-08-27,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
218,2020-08-28,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
219,2020-08-29,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
220,2020-08-30,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
221,2020-08-31,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
222,2020-09-01,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
223,2020-09-02,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
224,2020-09-03,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
225,2020-09-04,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
226,2020-09-05,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
227,2020-09-06,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
228,2020-09-07,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
229,2020-09-08,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
230,2020-09-09,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
231,2020-09-10,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
232,2020-09-11,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
233,2020-09-12,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
234,2020-09-13,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
235,2020-09-14,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
236,2020-09-15,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
237,2020-09-16,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
238,2020-09-17,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
239,2020-09-18,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
240,2020-09-19,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
